dutch,english,topic,section,definition
katholiek,Catholic,Topic 2,Feesten en tradities,de katholieke kerk is de christelijke kerk waarvan de paus in Rome het hoofd is,the Catholic Church is the Christian church of which the Pope in Rome is the head
Kerst,Christmas,Topic 2,Feesten en tradities,een christelijk feest op 25 en 26 december waarbij de geboorte van Jezus gevierd wordt,a Christian festival on December 25 and 26 celebrating the birth of Jesus
kerstavond,Christmas Eve,Topic 2,Feesten en tradities,de avond voor kerst op 24 december,the evening before Christmas on December 24
Keti Koti,Keti Koti,Topic 2,Feesten en tradities,de dagen waarop de afschaffing van de slavernij wordt herdacht en gevierd,the days on which the abolition of slavery is commemorated and celebrated
Koningsdag,King's Day,Topic 2,Feesten en tradities,de dag waarop de verjaardag van de koning gevierd wordt 27 april,the day on which the king's birthday is celebrated April 27
officiële vrije dag,official holiday,Topic 2,Feesten en tradities,een dag waarop het hele land vrij heeft van werk of school,a day when the whole country is free from work or school
oliebol,olieball,Topic 2,Feesten en tradities,een zachte ronde koek die in hete olie is gebakken,a soft round cake that is baked in hot oil
oud en nieuw,New Year's Eve,Topic 2,Feesten en tradities,feest dat wordt gevierd aan het einde van het oude jaar en aan het begin van het nieuwe jaar,festival celebrated at the end of the old year and at the beginning of the new year
Pakjesavond,St. Nicholas Eve,Topic 2,Feesten en tradities,feest op de avond van 5 december waarbij kinderen cadeautjes krijgen van Sinterklaas,festival on the evening of December 5 where children receive gifts from St. Nicholas
ramadan,Ramadan,Topic 2,Feesten en tradities,de maand waarin moslims overdag niets mogen eten of drinken,the month in which Muslims are not allowed to eat or drink during the day
Sinterklaas,St. Nicholas,Topic 2,Feesten en tradities,een heilige die op 5 december en in de weken ervoor cadeaus geeft aan kinderen,a saint who gives gifts to children on December 5 and in the weeks before
slavernij,slavery,Topic 2,Feesten en tradities,mensen zijn niet vrij omdat ze het bezit zijn van iemand anders,people are not free because they are the property of someone else
Tweede Wereldoorlog,World War II,Topic 2,Feesten en tradities,een grote oorlog van 1939 tot 1945,a major war from 1939 to 1945
vastentijd,Lent,Topic 2,Feesten en tradities,een periode van 40 dagen voor Pasen waarin sommige mensen minder eten,a period of 40 days before Easter when some people eat less
vuurwerk,fireworks,Topic 2,Feesten en tradities,iets wat knalt en licht geeft als je het aansteekt,something that bangs and gives light when you light it
condoleren,to offer condolences,Topic 2,Contact met anderen,gevoel tonen als iemand is overleden,showing feeling when someone has died
contributie,membership fee,Topic 2,Contact met anderen,geld dat je betaalt als je lid bent van een club of van een vereniging,money you pay when you are a member of a club or association
gecondoleerd,my condolences,Topic 2,Contact met anderen,dit zeg je als iemand overleden is om te laten zien dat je het erg vindt,this is what you say when someone has died to show that you feel sorry
hobby,hobby,Topic 2,Contact met anderen,iets dat je graag doet in je vrije tijd,something you like to do in your free time
kraamvisite,maternity visit,Topic 2,Contact met anderen,bezoek dat langskomt bij de ouders die net een kind hebben gekregen,visit that comes to parents who have just had a child
sociale contacten,social contacts,Topic 2,Contact met anderen,de mensen die je kent en waar je mee omgaat,the people you know and interact with
veel sterkte,much strength,Topic 2,Contact met anderen,dit zeg je om iemand moed te geven die problemen heeft,this is what you say to give courage to someone who has problems
vereniging,association,Topic 2,Contact met anderen,een organisatie van mensen die hetzelfde doel of dezelfde interesse hebben,an organization of people who have the same goal or the same interest
