id,type,text,question,option1,option2,option3,option4,correct
11,text,"Monica leest in de krant een bericht over vergrijzing.

De mensen in Nederland worden ouder en ouder.

Vergrijzing
Er komen steeds meer oude mensen in Nederland. In 2018 waren er 2.9 miljoen 65-plussers. In 2040 zullen dat er 4,7 miljoen zijn. Tot 2060 blijft dat aantal ongeveer hetzelfde. Vanaf 2025 komen er snel meer 80-plussers.

In 2040 is ongeveer 26 procent van de bevolking 65-plusser. Bijna 10% van de Nederlanders is in 2040 ouder dan 80 jaar. In 2012 waren er 686.227 mensen van 80 jaar of ouder, in 2040 zijn dat er 1.554.742.","Hoeveel 80-plussers zullen er in 2040 in Nederland wonen?","2.900.000.","4.700.000.","1.554.742.",,2
12,text,"In 2040 is ongeveer 26 procent van de bevolking 65-plusser. Bijna 10% van de Nederlanders is in 2040 ouder dan 80 jaar.","Hoeveel procent van de Nederlandse bevolking is in 2040 ouder dan 65 jaar?","26%.","10%.","Minder dan 10%.","Veel meer dan 26%.",0
13,text,"In 2040 zullen dat er 4,7 miljoen zijn. Tot 2060 blijft dat aantal ongeveer hetzelfde.","Hoeveel 65-plussers zijn er in 2060 ongeveer in Nederland?","Hierover staat niets in deze tekst.","Ongeveer 4,7 miljoen.","Ongeveer 2,9 miljoen.","Ongeveer 1,5 miljoen.",1
14,text,"Clara schrijft deze e-mail aan haar baas, Karel de Schone.

Aan: karel@deschone.nl
CC:
Onderwerp: stoppen met werken bij De Schone B.V.

Beste Karel de Schone,

Ik schrijf u deze mail om u te vertellen dat ik stop met het werk bij het bedrijf De Schone B.V.

Ik heb twee jaar lang bij u gewerkt, maar u wilt mij geen vast contract geven. Ook vind ik het salaris onvoldoende. Daarom ga ik weg.

Ik heb met plezier het werk gedaan en ik heb fijne collega's gehad, maar ik kan bij een andere werkgever een beter contract krijgen.

Ik wil per direct stoppen. Ik kom dus morgen ook niet werken.

Mijn collega's Maria en Carolien kunnen deze week mijn werk overnemen. Zij weten, dat ik stop bij uw bedrijf en zij weten dat ik deze mail aan u schrijf.

Met vriendelijke groet,
Clara Marks.","Waarom stopt Clara met werken bij De Schone B.V.?","Zij is ontevreden over haar salaris en over haar contract.","Zij vindt dat werk niet leuk.","Zij heeft ruzie met haar collega's Maria en Carolien.",,0
15,text,"Ik wil per direct stoppen. Ik kom dus morgen ook niet werken.","Wanneer stopt Clara precies met het werk bij De Schone B.V.?","Over twee jaar.","Overmorgen.","Over een week.","Vandaag.",3
16,text,"Ivan zoekt informatie over werken in de zorgsector. Hij leest dit op een website.

Werken in de zorg.

In Nederland hebben in 2019 ruim 1 miljoen mensen betaald werk in de zorg. Ruim een derde van hen (36%) werkt in de verpleging, verzorging en thuiszorg (VVT), een kwart (27%) werkt in een ziekenhuis. Tussen 2013 en 2019 hebben steeds minder mensen een betaalde baan in de zorg gevonden.

Wel zijn er veel meer vrijwilligers in de zorg gaan werken. Dat heet mantelzorg: zieke en oude mensen worden verzorgd door hun familie of door een bekende.

Het aantal mantelzorgers is tussen de drie en vier miljoen.

Branche percentage werknemers aantal werknemers
Verpleging, verzorging en thuiszorg (VVT) 36% 370.000
Ziekenhuizen 27% 280.000
Gehandicaptenzorg 15% 160.000
(Bron: CBS en UWV)","Ivan leest dat veel Nederlanders actief zijn in de zorgsector. Hoeveel Nederlanders hebben een betaalde baan in de zorg?","Meer dan 1 miljoen.","370.000","Tussen de drie en vier miljoen.","280.000",0
17,text,"Wel zijn er veel meer vrijwilligers in de zorg gaan werken. Dat heet mantelzorg: zieke en oude mensen worden verzorgd door hun familie of door een bekende.","Wat is een mantelzorger volgens deze tekst?","Iemand die werkt met gehandicapten.","Iemand die werkt in een ziekenhuis.","Iemand die vrijwilligerswerk doet.",,2
18,text,"Manou is 18 weken zwanger. Zij krijgt een folder van haar huisarts.

'Fit voor de bevalling'

Je krijgt binnenkort een kindje. Spannend!

Geef je nu op voor de zwangerschapscursus 'Fit voor de bevalling'. Tijdens de cursus die begint op 1 maart, krijg je veel informatie over de zwangerschap en je doet ook wekelijks yoga-oefeningen in Het Buurtcentrum in Kollum.

Deze oefeningen zijn belangrijk als na 9 maanden de baby komt! Met speciale ademhaling kun je in deze periode tot en met de geboorte van je kindje fit blijven. Je komt naar de cursus samen met andere aanstaande moeders.

Lesinformatie
De cursus bestaat uit 7 lessen à 90 minuten en vindt plaats in kleine groepen (maximaal 10 deelnemers).

Kosten Zwangerschapsyoga: € 85
Tijdstip: Maandagavond 19.15 uur. Start: 1 maart.
Plaats: Buurtcentrum, Hoofdstraat 1, Kollum","Manou wil graag fit blijven in de periode van de zwangerschap. Wat gaat zij doen?","Zij gaat 7 weken lang meedoen aan een cursus zwangerschapsyoga.","Zij gaat 9 maanden lang meedoen aan de cursus zwangerschapsyoga.","Zij gaat 18 weken lang meedoen aan de cursus zwangerschapsyoga.",,0
19,text,"Tijdens de cursus die begint op 1 maart, krijg je veel informatie over de zwangerschap en je doet ook wekelijks yoga-oefeningen in Het Buurtcentrum in Kollum.","Manou wil meedoen aan deze cursus. Wat krijgt zij tijdens de cursus?","Een kindje.","Betere ademhaling.","Zij krijgt veel informatie en zij gaat veel yoga-oefeningen doen.",,2
20,text,"De cursus bestaat uit 7 lessen à 90 minuten en vindt plaats in kleine groepen (maximaal 10 deelnemers).","Hoe lang duurt één les?","1 uur.","1,5 uur.","Dat staat niet in deze tekst.",,1
21,text,"Ahmed huurt een woning in de Roordaflat in de Boerhaavewijk. Hij leest dit bericht in de wijkkrant over zijn flat.

FEESTJE NA RENOVATIE ROORDASTRAAT BOERHAAVEWIJK

In de Roordastraat was het feest op donderdagmiddag 18 mei 2019. Bewoners van de Roordastraat vierden samen met hun woningbouwvereniging Elan Wonen de renovatie van de flat in hun straat.

Dit zei de wethouder van de gemeente: 'Er is én er wordt hard gewerkt in de Boerhaavewijk. De Roordastraat ziet er weer modern uit en de 40 woningen zijn nu heel goed verbeterd.'

De entree en de balkons zijn gemoderniseerd. Ook de liften in het gebouw zijn vernieuwd. Tenslotte zijn alle kozijnen en buitendeuren gerenoveerd.

De renovatie heeft ongeveer 18 maanden geduurd, van januari 2018 tot augustus 2019.

De huurprijzen veranderen in 2019 voor de bewoners niet. De huurprijzen in de Roordastraat zijn gelijk gebleven.

Kijk voor meer informatie op www.elanwonen.nl.","In welke periode zijn de woningen gerenoveerd?","In de periode 2018-2019.","Op 18 mei 2019.","In het jaar 2019.","In het jaar 2018.",0
22,text,"De entree en de balkons zijn gemoderniseerd. Ook de liften in het gebouw zijn vernieuwd. Tenslotte zijn alle kozijnen en buitendeuren gerenoveerd.

De huurprijzen veranderen in 2019 voor de bewoners niet. De huurprijzen in de Roordastraat zijn gelijk gebleven.","Wat is niet veranderd bij de renovatie van de Roordastraat?","De liften.","De kozijnen en de buitendeuren.","De huurprijs.",,2
23,text,"Bewoners van de Roordastraat vierden samen met hun woningbouwvereniging Elan Wonen de renovatie van de flat in hun straat.","Wie is de eigenaar van de woning van Ahmed in de Roordastraat?","Ahmed.","De wethouder van de gemeente.","De vereniging Elan Wonen.",,2
24,text,"Ineke komt op zondagavond thuis van vakantie. Zij ziet een e-mail van haar collega Marleen.

Hoi Ineke

Het is nu zondagavond en ik stuur je even een e-mailtje.
Hoe was je vakantie? Ik hoop dat je goed uitgerust bent …

Welkom terug en succes morgen! Er is veel te doen …

Je kunt morgenochtend in de agenda zien wat er gebeurd is in jouw vakantie.

Ga je met mij mee naar de HEMA morgen of op dinsdag? We kopen daar dan spullen voor het afscheidsfeest van Ad. Dat feest is over twee weken, op 2 september. Ook moeten we weten wie er komt op die dag. Misschien komen er op die dag wel 100 mensen, dus we moeten veel organiseren!

Op donderdag kom ik weer werken.

Als je dus morgen of overmorgen met mij naar de HEMA wil, stuur me dan even een bericht of bel me!

Goede start morgen en groetjes
Marleen","Wat wil Marleen graag met Ineke afspreken?","Zij wil graag met Ineke naar de HEMA.","Zij wil graag met Ineke naar Ad.","Zij wil graag met Ineke op vakantie.","Zij wil graag met Ineke naar een feest.",0
25,text,"Op donderdag kom ik weer werken.","Wanneer gaat Marleen weer naar haar werk?","Op 2 september.","Op maandag.","Op dinsdag.","Op donderdag.",3
